,place_name,place_id,facility_available_name,facility_id,facility_is_available
0,가락시장,0,화장실,900000,이용가능
1,가락시장,0,엘리베이터,900001,이용가능
2,가락시장,0,휠체어리프트,900002,이용가능
3,가산디지털단지,1,에스켈레이터,900003,이용가능
4,가산디지털단지,1,화장실,900004,이용가능
5,가산디지털단지,1,엘리베이터,900005,이용가능
6,가산디지털단지,1,휠체어리프트,900006,이용가능
7,강남,3,화장실,900007,이용가능
8,강남,3,엘리베이터,900008,이용가능
9,강남,3,에스켈레이터,900009,이용가능
10,강남구청,4,에스켈레이터,900010,이용가능
11,강남구청,4,화장실,900011,이용가능
12,강남구청,4,엘리베이터,900012,이용가능
13,강남구청,4,휠체어리프트,900013,이용가능
14,강동,5,화장실,900014,이용가능
15,강동,5,엘리베이터,900015,이용가능
16,강동,5,에스켈레이터,900016,이용가능
17,강동,5,휠체어리프트,900017,이용가능
18,강동구청,6,화장실,900018,이용가능
19,강동구청,6,엘리베이터,900019,이용가능
20,강동구청,6,에스켈레이터,900020,이용가능
21,강변,7,화장실,900021,이용가능
22,강변,7,엘리베이터,900022,이용가능
23,강변,7,휠체어리프트,900023,이용가능
24,개농,8,화장실,900024,이용가능
25,개농,8,엘리베이터,900025,이용가능
26,개화산,10,화장실,900026,이용가능
27,개화산,10,엘리베이터,900027,이용가능
28,거여,11,화장실,900028,이용가능
29,거여,11,에스켈레이터,900029,이용가능
30,거여,11,엘리베이터,900030,이용가능
31,거여,11,휠체어리프트,900031,이용가능
32,건대입구,12,화장실,900032,이용가능
33,건대입구,12,엘리베이터,900033,이용가능
34,건대입구,12,에스켈레이터,900034,이용가능
35,건대입구,12,휠체어리프트,900035,이용가능
36,경복궁,14,엘리베이터,900036,이용가능
37,경복궁,14,화장실,900037,이용가능
38,고덕,15,화장실,900038,이용가능
39,고덕,15,엘리베이터,900039,이용가능
40,고덕,15,에스켈레이터,900040,이용가능
41,고려대,16,화장실,900041,이용가능
42,고려대,16,엘리베이터,900042,이용가능
43,고려대,16,에스켈레이터,900043,이용가능
44,고속터미널,17,화장실,900044,이용가능
45,고속터미널,17,엘리베이터,900045,이용가능
46,공덕,20,엘리베이터,900046,이용가능
47,공덕,20,에스켈레이터,900047,이용가능
48,공덕,20,화장실,900048,이용가능
49,공릉,21,에스켈레이터,900049,이용가능
50,공릉,21,엘리베이터,900050,이용가능
51,공릉,21,화장실,900051,이용가능
52,광나루,24,화장실,900052,이용가능
53,광나루,24,엘리베이터,900053,이용가능
54,광나루,24,휠체어리프트,900054,이용가능
55,광명사거리,25,화장실,900055,이용가능
56,광명사거리,25,엘리베이터,900056,이용가능
57,광명사거리,25,휠체어리프트,900057,이용가능
58,광화문,26,엘리베이터,900058,이용가능
59,광화문,26,에스켈레이터,900059,이용가능
60,광화문,26,화장실,900060,이용가능
61,광화문,26,휠체어리프트,900061,이용가능
62,광흥창,27,화장실,900062,이용가능
63,광흥창,27,엘리베이터,900063,이용가능
64,광흥창,27,휠체어리프트,900064,이용가능
65,교대,28,화장실,900065,이용가능
66,교대,28,엘리베이터,900066,이용가능
67,교대,28,에스켈레이터,900067,이용가능
68,구로디지털단지,30,화장실,900068,이용가능
