,전체,서울,부산,대구,인천,광주,대전,울산,세종,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
합계,2545637,391753,171384,119766,138304,69233,72180,50205,10623,533259,99959,95844,128503,131303,142174,172533,183510,35104
지체,1254130,185424,82660,54677,70758,31607,34269,24381,5296,268832,51550,46957,64668,67516,73318,83226,94245,14746
시각,252632,41995,18197,12096,13786,7290,7133,4937,1053,52038,9459,8965,12076,11693,14198,16396,17067,4253
청각ㆍ언어,302003,45244,17632,15724,15833,9095,8733,6857,1300,56322,12451,11759,16842,15677,18475,24319,20481,5259
청각ㆍ언어,20321,3252,1365,1023,1272,555,555,359,77,4299,746,677,1014,1181,1019,1183,1361,383
지적,200903,25654,11155,9497,9786,6418,6073,4048,921,41289,8062,9886,11349,11974,11579,15449,14628,3135
뇌병변,252819,42287,20060,13094,13068,6875,7523,4881,935,53728,9316,8789,10965,12274,11682,16100,17714,3528
자폐성,24698,5401,1632,1101,1331,748,933,524,112,6403,629,657,811,692,649,1029,1576,470
정신,101175,16326,8078,6062,4679,3006,3052,1386,417,18496,3109,3698,5245,5491,5723,7367,7775,1265
신장,83562,16131,6613,4155,5020,2160,2444,1705,285,19807,2577,2642,3150,2733,3121,4346,5418,1255
심장,5399,1154,495,230,224,131,143,179,23,1292,139,148,217,164,202,328,253,77
호흡기,11807,2130,998,450,633,306,319,257,49,2447,583,377,584,375,606,660,787,246
간,11843,2323,713,593,595,341,283,301,47,2986,383,377,438,408,500,737,657,161
안면,2692,398,231,142,141,63,80,71,14,615,89,87,126,114,90,200,208,23
장루ㆍ요루,14718,2794,1020,620,799,370,395,216,67,3306,628,574,750,579,623,843,955,179
뇌전증,6935,1240,535,302,379,268,245,103,27,1399,238,251,268,432,389,350,385,124
