,facility_available_name,place_name,place_id,facility_id
0,남성용-소변기,남대문시장 화장실,30000,300000
1,남성용-장애인용대변기,남대문시장 화장실,30000,300001
2,여성용-대변기,남대문시장 화장실,30000,300002
3,여성용-장애인용대변기,남대문시장 화장실,30000,300003
4,남성용-대변기,광희동 화장실,30001,300004
5,남성용-소변기,광희동 화장실,30001,300005
6,남성용-장애인용대변기,광희동 화장실,30001,300006
7,여성용-대변기,광희동 화장실,30001,300007
8,여성용-장애인용대변기,광희동 화장실,30001,300008
9,남성용-대변기,신당 1호 화장실,30002,300009
10,남성용-소변기,신당 1호 화장실,30002,300010
11,여성용-대변기,신당 1호 화장실,30002,300011
12,남녀공용화장실,신당 1호 화장실,30002,300012
13,남성용-대변기,신당 2호 화장실,30003,300013
14,남성용-소변기,신당 2호 화장실,30003,300014
15,여성용-대변기,신당 2호 화장실,30003,300015
16,남성용-대변기,청구역 화장실,30004,300016
17,남성용-소변기,청구역 화장실,30004,300017
18,남성용-장애인용대변기,청구역 화장실,30004,300018
19,여성용-대변기,청구역 화장실,30004,300019
20,남성용-대변기,황학동 화장실,30005,300020
21,남성용-소변기,황학동 화장실,30005,300021
22,남성용-장애인용대변기,황학동 화장실,30005,300022
23,남성용-장애인용소변기,황학동 화장실,30005,300023
24,남성용-어린이용대변기,황학동 화장실,30005,300024
25,여성용-대변기,황학동 화장실,30005,300025
26,여성용-장애인용대변기,황학동 화장실,30005,300026
27,여성용-어린이용대변기,황학동 화장실,30005,300027
28,남성용-대변기,구로4동 경로당 화장실,30006,300028
29,남성용-소변기,구로4동 경로당 화장실,30006,300029
30,여성용-대변기,구로4동 경로당 화장실,30006,300030
31,남성용-대변기,거리공원 등기소앞 화장실,30007,300031
32,남성용-소변기,거리공원 등기소앞 화장실,30007,300032
33,여성용-대변기,거리공원 등기소앞 화장실,30007,300033
34,남성용-대변기,삭새어린이공원 화장실,30008,300034
35,남성용-소변기,삭새어린이공원 화장실,30008,300035
36,여성용-대변기,삭새어린이공원 화장실,30008,300036
37,남성용-대변기,개웅어린이공원 화장실,30009,300037
38,남성용-소변기,개웅어린이공원 화장실,30009,300038
39,여성용-대변기,개웅어린이공원 화장실,30009,300039
40,남성용-대변기,고척근린공원 화장실,30010,300040
41,남성용-소변기,고척근린공원 화장실,30010,300041
42,여성용-대변기,고척근린공원 화장실,30010,300042
43,남성용-대변기,궁동생태공원 화장실,30011,300043
44,남성용-소변기,궁동생태공원 화장실,30011,300044
45,여성용-대변기,궁동생태공원 화장실,30011,300045
46,남성용-대변기,구로리어린이공원 화장실,30012,300046
47,남성용-소변기,구로리어린이공원 화장실,30012,300047
48,여성용-대변기,구로리어린이공원 화장실,30012,300048
