,place_name,place_id,lat,lng,category
0,가락시장,0,37.4923175,127.118104,subway
1,가산디지털단지,1,37.48089,126.8825735,subway
2,간석,2,37.464689,126.693408,subway
3,강남,3,37.49794199999999,127.027621,subway
4,강남구청,4,37.517473,127.0411685,subway
5,강동,5,37.53594,127.132187,subway
6,강동구청,6,37.53051,127.120535,subway
7,강변,7,37.535144,127.094672,subway
8,개농,8,37.4981619,127.1346598,subway
9,개봉,9,37.494698,126.858504,subway
10,개화산,10,37.572455,126.806839,subway
11,거여,11,37.493422,127.143597,subway
12,건대입구,12,37.540389,127.069236,subway
13,경마공원,13,37.443987,127.007899,subway
14,경복궁,14,37.575838,126.97358,subway
15,고덕,15,37.555051,127.15411,subway
16,고려대,16,37.590401,127.035859,subway
17,고속터미널,17,37.5049142,127.0049151,subway
18,고잔,18,37.316821,126.823094,subway
19,공단,19,35.8921571,128.5534645,subway
20,공덕,20,37.54322,126.951576,subway
21,공릉,21,37.625787,127.072894,subway
22,과천,22,37.433205,126.996404,subway
23,관악,23,37.41957800000001,126.908476,subway
24,광나루,24,37.54533199999999,127.103606,subway
25,광명사거리,25,37.4793066,126.8546747,subway
26,광화문,26,37.5705263,126.9765729,subway
27,광흥창,27,37.547478,126.931855,subway
28,교대,28,37.4934705,127.0142285,subway
29,구로,29,37.5031784,126.8820367,subway
30,구로디지털단지,30,37.48525,126.901472,subway
31,구산,31,37.611324,126.917297,subway
32,구의,32,37.5368933,127.0852645,subway
33,구일,33,37.496273,126.869599,subway
34,구파발,34,37.636581,126.918833,subway
35,군자,35,37.5573355,127.079589,subway
36,군포,36,37.353732,126.948517,subway
37,굽은다리,37,37.545539,127.142906,subway
38,금정,38,37.372237,126.9434895,subway
39,금호,39,37.54826,127.015789,subway
40,길동,40,37.537769,127.139992,subway
41,길음,41,37.603185,127.024914,subway
42,김포공항,42,37.5618288,126.8019274,subway
43,까치산,43,37.5317675,126.8467055,subway
44,낙성대,44,37.477117,126.963418,subway
45,남구로,45,37.486087,126.887272,subway
46,남부터미널,46,37.48491,127.016274,subway
47,남성,47,37.484876,126.970673,subway
48,남영,48,37.540597,126.971171,subway
49,남태령,49,37.464237,126.989097,subway
50,남한산성입구,50,37.451541,127.159821,subway
51,내방,51,37.487707,126.993598,subway
52,노량진,52,37.514072,126.94167,subway
53,노원,53,37.656349,127.063354,subway
54,녹번,54,37.600869,126.935761,subway
55,녹사평,55,37.534945,126.9853515,subway
56,녹천,56,37.644599,127.051406,subway
57,논현,57,37.511206,127.021728,subway
58,단대오거리,58,37.44504999999999,127.156709,subway
59,답십리,59,37.567072,127.052382,subway
60,당고개,60,37.67026,127.079011,subway
61,당산,61,37.5340278,126.9019901,subway
62,대곡,62,37.631957,126.8102965,subway
63,대공원,63,37.435724,127.006474,subway
64,대림,64,37.4930835,126.8957865,subway
65,대방,65,37.512537,126.926392,subway
66,대야미,66,37.328304,126.91716,subway
67,대청,67,37.493601,127.079526,subway
68,대치,68,37.494569,127.063446,subway
69,대화,69,37.6758831,126.7477558,subway
70,대흥,70,37.547674,126.942332,subway
71,도곡,71,37.49106,127.0556945,subway
72,도림천,72,37.51446,126.882624,subway
73,도봉,73,37.679441,127.045521,subway
74,도봉산,74,37.689596,127.0461945,subway
75,도원,75,37.468604,126.642824,subway
76,독립문,76,37.574453,126.957918,subway
77,독바위,77,37.618387,126.933037,subway
78,독산,78,37.4659942,126.8895083,subway
79,돌곶이,79,37.610493,127.056403,subway
80,동대문,80,동대문,동대문,subway
81,동대문역사문화공원,81,37.565102,127.007765,subway
82,동대문운동장,82,37.565102,127.007765,subway
83,동대입구,83,37.558126,127.005316,subway
84,동묘앞,84,37.572729,127.016008,subway
85,동암,85,37.470869,126.702884,subway
86,동인천,86,37.475414,126.632598,subway
87,동작,87,37.503062,126.9790995,subway
88,두정,88,36.833791,127.148905,subway
89,둔촌동,89,37.527657,127.136231,subway
90,뚝섬,90,37.54724,127.04731,subway
91,뚝섬유원지,91,37.531537,127.066691,subway
92,마곡,92,37.5619185,126.826919,subway
93,마두,93,37.652185,126.777641,subway
94,마들,94,37.665375,127.057614,subway
95,마장,95,37.566127,127.042965,subway
96,마천,96,37.49502,127.15279,subway
97,마포,97,37.539705,126.94604,subway
98,마포구청,98,37.563418,126.903472,subway
99,망원,99,37.5559772,126.9012821,subway
100,망월산,100,37.710499,127.04736,subway
101,매봉,101,37.48703500000001,127.046918,subway
102,먹골,102,37.61078,127.077707,subway
103,면목,103,37.588745,127.087494,subway
104,명동,104,37.5609892,126.9861868,subway
105,명일,105,37.55131,127.144014,subway
106,명학,106,37.3900837,126.9305068,subway
107,모란,107,37.432124,127.129064,subway
108,목동,108,37.526072,126.864301,subway
109,몽촌토성,109,37.517641,127.11274,subway
110,무악재,110,37.582634,126.950134,subway
111,문래,111,37.5169837,126.8993953,subway
112,문정,112,37.4851331,127.1238462,subway
113,미아,113,37.626394,127.026132,subway
114,미아삼거리,114,37.613251,127.030084,subway
115,반월,115,37.312244,126.903684,subway
116,반포,116,37.508213,127.011847,subway
117,발산,117,37.55868299999999,126.837595,subway
118,방배,118,37.481512,126.997638,subway
119,방이,119,37.508559,127.12596,subway
120,방학,120,37.66747,127.044295,subway
121,방화,121,37.577622,126.812826,subway
122,백석,122,37.642973,126.788109,subway
123,백운,123,37.483301,126.707179,subway
124,버티고개,124,37.5478919,127.0071227,subway
125,범계,125,37.389854,126.950627,subway
126,병점,126,37.206821,127.033268,subway
127,보라매,127,37.499929,126.920282,subway
128,보문,128,37.585331,127.019391,subway
129,복정,129,37.470375,127.126685,subway
130,봉천,130,37.482476,126.941574,subway
131,봉화산,131,봉화산,봉화산,subway
132,부개,132,37.488479,126.740549,subway
133,부천,133,37.4840664,126.7827787,subway
134,부평,134,37.49038609999999,126.7236421,subway
135,불광,135,37.6105025,126.9298435,subway
136,사가정,136,37.580966,127.088503,subway
137,사당,137,37.476559,126.981633,subway
138,산본,138,37.358019,126.932969,subway
139,산성,139,37.456639,127.150057,subway
140,삼각지,140,37.5350315,126.9734515,subway
141,삼성,141,37.508861,127.063149,subway
142,삼송,142,37.653096,126.895559,subway
143,상계,143,37.660566,127.073202,subway
144,상도,144,37.503072,126.947753,subway
145,상록수,145,37.3028447,126.8665333,subway
146,상봉,146,37.5952536,127.0858527,subway
147,상수,147,37.5454728,126.9244174,subway
148,상왕십리,148,37.5645,127.028872,subway
149,상월곡,149,37.6066,127.048862,subway
150,상일동,150,37.5570545,127.169184,subway
151,새절,151,37.591014,126.913582,subway
152,서대문,152,37.56577,126.96665,subway
153,서울대입구,153,37.48121,126.952712,subway
154,서울역,154,37.5536067,126.9696195,subway
155,서정리,155,37.057003,127.053294,subway
156,서초,156,37.49184,127.007688,subway
157,석계,157,37.6150815,127.0657675,subway
158,석수,158,37.435161,126.902233,subway
159,석촌,159,37.505438,127.106981,subway
160,선릉,160,37.504479,127.048941,subway
161,선바위,161,37.451854,127.002164,subway
162,성균관대,162,37.300344,126.97086,subway
163,성내,163,37.520661,127.103822,subway
164,성북,164,37.6237325,127.061817,subway
165,성산,165,성산,성산,subway
166,성수,166,37.544569,127.055974,subway
167,성신대입구,167,37.59272,127.016544,subway
168,성환,168,36.916675,127.126936,subway
169,세류,169,37.2441023,127.0137721,subway
170,세마,170,37.187288,127.043279,subway
171,소사,171,37.482755,126.795654,subway
172,송내,172,37.487626,126.753045,subway
173,송정,173,35.137559,126.791535,subway
174,송탄,174,37.075533,127.054377,subway
175,송파,175,37.499739,127.112201,subway
176,수락산,176,37.677881,127.055293,subway
177,수색,177,37.5840042,126.8955434,subway
178,수서,178,37.4874685,127.1013245,subway
179,수원,179,37.2664398,126.9994077,subway
180,수유,180,37.6371095,127.0247325,subway
181,수진,181,37.4376114,127.1410201,subway
182,숙대입구,182,37.545097,126.971987,subway
183,숭실대입구,183,37.496374,126.953504,subway
184,시청,184,37.5657037,126.9768616,subway
185,시흥,185,37.455645,126.894003,subway
186,신금호,186,37.554468,127.020794,subway
187,신길,187,37.517346,126.9164095,subway
188,신길온천,188,37.337488,126.767306,subway
189,신답,189,37.569889,127.04701,subway
190,신당,190,37.565671,127.019468,subway
191,신대방,191,37.487519,126.913282,subway
192,신대방삼거리,192,37.499717,126.928189,subway
193,신도림,193,37.508562,126.891336,subway
194,신림,194,37.4626176,126.9383251,subway
195,신사,195,37.524124,127.022883,subway
196,신설동,196,37.575326,127.0248495,subway
197,신용산,197,37.529187,126.967886,subway
198,신이문,198,37.601829,127.067347,subway
199,신정,199,37.524977,126.856164,subway
200,신정네거리,200,37.520209,126.852796,subway
201,신천,201,37.511624,127.085585,subway
202,신촌,202,37.559768,126.942308,subway
203,신풍,203,37.50013,126.908969,subway
204,신흥,204,37.440949,127.147493,subway
205,쌍문,205,37.6482236,127.0343875,subway
206,아차산,206,37.552404,127.089107,subway
207,아현,207,37.557382,126.956083,subway
208,안국,208,37.576556,126.985472,subway
209,안산,209,37.327006,126.788748,subway
210,안암,210,37.586296,127.029137,subway
211,안양,211,37.4026846,126.9220496,subway
212,암사,212,37.550148,127.127519,subway
213,압구정,213,37.531684,127.0302926,subway
214,애오개,214,37.55359,126.956739,subway
215,약수,215,37.554431,127.010444,subway
216,양재,216,37.484102,127.034369,subway
217,양천구청,217,37.512322,126.865633,subway
218,양평,218,37.492778,127.492149,subway
219,어린이대공원,219,37.54790500000001,127.074593,subway
220,여의나루,220,37.527141,126.93281,subway
221,여의도,221,37.5215695,126.9243115,subway
222,역곡,222,37.4851398,126.8116223,subway
223,역삼,223,37.500326,127.036087,subway
224,역촌,224,37.606314,126.922881,subway
225,연신내,225,37.618812,126.920842,subway
226,영등포,226,37.5154133,126.9071288,subway
227,영등포구청,227,37.5248203,126.8959946,subway
228,영등포시장,228,37.5227176,126.9051461,subway
229,오금,229,37.5022335,127.128354,subway
230,오류동,230,37.49440000000001,126.844551,subway
231,오목교,231,37.524553,126.87505,subway
232,오산,232,37.14581,127.067125,subway
233,오산대,233,37.169401,127.06308,subway
234,오이도,234,37.362241,126.738626,subway
235,옥수,235,37.540514,127.018698,subway
236,온수,236,37.4921505,126.8236345,subway
237,올림픽공원,237,37.516628,127.13109,subway
238,왕십리,238,37.5611284,127.035505,subway
239,외대앞,239,37.595518,127.059615,subway
240,용답,240,37.56217,127.050835,subway
241,용두,241,37.573927,127.038653,subway
242,용마산,242,37.57379299999999,127.086818,subway
243,용산,243,37.5384272,126.9654442,subway
244,우장산,244,37.548783,126.836334,subway
245,원당,245,37.65332799999999,126.843006,subway
246,월계,246,37.633114,127.058835,subway
247,월곡,247,37.601925,127.04153,subway
248,을지로3가,248,37.566286,126.9917735,subway
249,을지로4가,249,37.5670145,126.9978305,subway
250,을지로입구,250,37.566056,126.982662,subway
251,응암,251,37.598472,126.915592,subway
252,의왕,252,37.320648,126.948099,subway
253,의정부,253,37.7387295,127.0458908,subway
254,의정부북부,254,37.748362,127.044251,subway
255,이대,255,37.556761,126.945857,subway
256,이촌,256,37.5224761,126.9738155,subway
257,이태원,257,37.534533,126.994579,subway
258,인덕원,258,37.400807,126.976384,subway
259,인천,259,37.476364,126.616936,subway
260,일원,260,37.483869,127.084032,subway
261,잠실,261,37.5132612,127.1001336,subway
262,잠원,262,37.51296,127.011611,subway
263,장승배기,263,37.504905,126.939191,subway
264,장암,264,37.699655,127.052276,subway
265,장지,265,37.477699,127.126274,subway
266,장한평,266,37.56147199999999,127.064657,subway
267,정발산,267,37.6596496,126.7732889,subway
268,정부과천청사,268,37.426119,126.9898051,subway
269,정왕,269,37.351816,126.742844,subway
270,제기동,270,37.578162,127.034895,subway
271,제물포,271,37.466809,126.657165,subway
272,종각,272,37.570169,126.983099,subway
273,종로3가,273,37.5715,126.9912475,subway
274,종로5가,274,37.570988,127.001921,subway
275,종합운동장,275,37.51105099999999,127.073774,subway
276,주안,276,37.4565562,126.6845807,subway
277,주엽,277,37.670186,126.7611005,subway
278,중계,278,37.645494,127.063907,subway
279,중곡,279,37.565535,127.084086,subway
280,중동,280,37.486664,126.764474,subway
281,중앙,281,37.316055,126.838532,subway
282,중화,282,37.602572,127.079285,subway
283,증산,283,37.583933,126.909686,subway
284,지제,284,37.018822,127.070269,subway
285,지축,285,37.64811400000001,126.913746,subway
286,직산,286,36.870921,127.143774,subway
287,진위,287,37.109771,127.062342,subway
288,창동,288,37.653454,127.047574,subway
289,창신,289,37.579361,127.015281,subway
290,천안,290,36.809084,127.146561,subway
291,천왕,291,37.486686,126.838681,subway
292,천호,292,37.5439937,127.1256452,subway
293,철산,293,37.4759465,126.8682506,subway
294,청구,294,37.5591145,127.0131005,subway
295,청담,295,37.51912,127.051937,subway
296,청량리,296,37.581381,127.048958,subway
297,총신대입구,297,37.486491,126.981876,subway
298,총신대입구(이수),298,37.48665099999999,126.982164,subway
299,충무로,299,37.5609739,126.9935287,subway
300,충정로,300,37.560055,126.963672,subway
301,태릉입구,301,37.6179085,127.0750345,subway
302,평촌,302,37.394346,126.96388,subway
303,평택,303,36.991145,127.084981,subway
304,하계,304,37.63595,127.068213,subway
305,학동,305,37.5135304,127.0315341,subway
306,학여울,306,37.496683,127.070549,subway
307,한강진,307,37.539518,127.001736,subway
308,한대앞,308,37.309685,126.853656,subway
309,한성대입구,309,37.588374,127.005907,subway
310,한양대,310,37.5556003,127.0436832,subway
311,합정,311,37.5495753,126.9139908,subway
312,행당,312,37.557402,127.029637,subway
313,혜화,313,37.58208,127.001892,subway
314,홍대입구,314,37.557527,126.9244669,subway
315,홍제,315,37.588792,126.944094,subway
316,화곡,316,37.54157800000001,126.840436,subway
317,화랑대,317,37.620513,127.084244,subway
318,화서,318,37.28399,126.989581,subway
319,화정,319,37.63459,126.832645,subway
320,회기,320,37.58975600000001,127.057977,subway
321,회룡,321,37.724522,127.0472035,subway
322,회현,322,37.5596339,126.9797158,subway
323,효창공원앞,323,37.539289,126.961339,subway
