,category,lat,lon,place_address,place_id,place_name
0,movie/concerthall,37.58326870000001,127.002443,서울특별시 종로구 동숭동 1-37,10000,A아트홀(구.신연아트홀)
1,movie/concerthall,37.5239298,127.0251432,서울특별시 강남구 신사동  568-2,10001,BBC씨어터
2,movie/concerthall,37.5688354,126.988123,서울특별시 종로구 관철동 33-1,10002,BREAK OUT 전용극장
3,movie/concerthall,37.54910039999999,126.9228601,서울특별시 마포구 와우산로 51,10003,BYRDS(버즈)
4,movie/concerthall,37.5548332,126.9232125,서울특별시 마포구 어울마당로 114,10004,Between the Bars
5,movie/concerthall,37.501621,127.0263906,서울특별시 강남구 역삼동 814-6 스타플렉스 4-11층,10005,CGV 강남
6,movie/concerthall,37.5634244,126.9829197,서울특별시 중구 명동2가 83-5 눈스퀘어 8층,10006,CGV 명동
7,movie/concerthall,37.5699509,126.899029,서울특별시 마포구 월드컵로 240,10007,CGV 상암
8,movie/concerthall,37.4787378,127.1211166,서울특별시 송파구 문정동 294 가든파이브 라이프 YOUNG관 10층,10008,CGV 송파
9,movie/concerthall,37.52845170000001,127.1253784,서울특별시 강동구 성내로 48,10009,CGV강변
10,movie/concerthall,37.5011769,126.8828472,서울특별시 구로구 구로중앙로 152,10010,CGV구로
11,movie/concerthall,37.5558098,127.0783645,서울특별시 광진구 능동로  289,10011,CGV군자
12,movie/concerthall,37.5706508,126.9729916,서울특별시 종로구 새문안로 75,10012,CGV대학로
13,movie/concerthall,37.5265922,126.8744517,서울특별시 양천구 목동동로 257,10013,CGV목동
14,movie/concerthall,37.60974,126.9289681,서울특별시 은평구 불광로  20,10014,CGV불광
15,movie/concerthall,37.5565404,126.9402938,서울특별시 서대문구 신촌로  129,10015,CGV신촌아트레온
16,movie/concerthall,37.5170517,126.9033332,서울특별시 영등포구 영등포동 4가 442번지 타임스퀘어내 CGV팝아트홀 7층,10016,CGV신한카드아트홀(구 CGV팝아트홀)
17,movie/concerthall,37.5243665,127.0294163,서울특별시 강남구 압구정로30길  45,10017,CGV압구정
18,movie/concerthall,37.5292613,126.9249062,서울특별시 영등포구 여의공원로 101,10018,CGV영등포
19,movie/concerthall,37.525151,127.0519996,서울특별시 강남구 청담동 125-16,10019,CLUB ANSWER
20,movie/concerthall,37.4995522,127.02630790000002,서울특별시 서초구 서초4동 1306-8번지 대동빌딩 B1,10020,CLUB mASS
21,movie/concerthall,37.5015494,127.03731770000002,서울특별시 강남구 역삼1동 679-1 GS타워 25층,10021,GS타워 소극장
22,movie/concerthall,37.5043222,127.0035383,서울특별시 서초구 반포동 19-3 메리어트호텔,10022,JW 메리어트호텔 그랜드볼룸
23,movie/concerthall,37.5019921,127.03735220000002,서울특별시 강남구 논현로  508,10023,LG아트센터
24,movie/concerthall,37.49920529999999,127.0302669,서울특별시 강남구 테헤란로  117,10024,LIG아트홀
25,movie/concerthall,37.4992001,127.0302844,서울특별시 강남구 역삼동 649-11 LIG타워 LIG아트홀,10025,LIG아트홀(강남)
26,movie/concerthall,37.5238931,127.0396447,서울특별시 강남구 청담동 86번지 I 빌딩 3층,10026,OTM청담아트홀 (구KS청담홀)
27,movie/concerthall,37.525151,127.0519996,서울특별시 강남구 청담동 125-16,10027,Question Hall
28,movie/concerthall,37.5162624,127.0206477,서울특별시 강남구 논현동 1-3 렉스타워 지하 1층,10028,강남 동양아트홀
