,facility_available_name,facility_is_available,place_name
0,장애인 전용 주차구역_FR푸드시스템,이용가능,FR푸드시스템
1,주출입구 높이차이 제거_FR푸드시스템,이용가능,FR푸드시스템
2,주출입구 접근로_OK목장,이용가능,OK목장
3,장애인 전용 주차구역_OK목장,이용가능,OK목장
4,주출입구 접근로_The만나,이용불편,The만나
5,장애인 전용 주차구역_The만나,이용가능,The만나
6,주출입구 높이차이 제거_The만나,이용불편,The만나
7,주출입구 접근로_㈜이리오어라(한정식),이용가능,㈜이리오어라(한정식)
8,장애인 전용 주차구역_㈜이리오어라(한정식),이용가능,㈜이리오어라(한정식)
9,주출입구 접근로_가야옥,이용불편,가야옥
10,장애인 전용 주차구역_가야옥,이용가능,가야옥
11,주출입구 높이차이 제거_가야옥,이용가능,가야옥
12,주출입구 접근로_가족천하,이용가능,가족천하
13,주출입구 접근로_갈비둥지,이용불편,갈비둥지
14,장애인 전용 주차구역_갈비둥지,이용불편,갈비둥지
15,주출입구 높이차이 제거_갈비둥지,이용불편,갈비둥지
16,주출입구 접근로_갈비사랑,이용불편,갈비사랑
17,주출입구 높이차이 제거_갈비사랑,이용가능,갈비사랑
18,주출입구 접근로_갈비세상,이용가능,갈비세상
19,주출입구 높이차이 제거_갈비세상,이용가능,갈비세상
20,주출입구 접근로_갈비예찬,이용불편,갈비예찬
21,주출입구 높이차이 제거_갈비예찬,이용불편,갈비예찬
22,주출입구 접근로_감자바우,이용가능,감자바우
23,주출입구 높이차이 제거_감자바우,이용가능,감자바우
24,주출입구 접근로_강강술래,이용불편,강강술래
25,장애인 전용 주차구역_강강술래,이용불편,강강술래
26,주출입구 높이차이 제거_강강술래,이용가능,강강술래
27,주출입구 접근로_강강술래,이용가능,강강술래
28,장애인용 관람석_강강술래,이용가능,강강술래
29,주출입구 접근로_개성면옥,이용가능,개성면옥
30,장애인 전용 주차구역_개성면옥,이용가능,개성면옥
31,주출입구 접근로_개성면옥(함흥냉면),이용불편,개성면옥(함흥냉면)
32,장애인 전용 주차구역_개성면옥(함흥냉면),이용불편,개성면옥(함흥냉면)
33,주출입구 접근로_거북이집,이용가능,거북이집
34,장애인 전용 주차구역_거북이집,이용가능,거북이집
35,주출입구 높이차이 제거_거북이집,이용가능,거북이집
36,주출입구 접근로_경복궁,이용가능,경복궁
37,장애인 전용 주차구역_경복궁,이용가능,경복궁
38,주출입구 높이차이 제거_경복궁,이용가능,경복궁
39,주출입구 접근로_경복궁(불고기브라더스),이용불편,경복궁(불고기브라더스)
40,장애인 전용 주차구역_경복궁(불고기브라더스),이용불편,경복궁(불고기브라더스)
41,주출입구 높이차이 제거_경복궁(불고기브라더스),이용가능,경복궁(불고기브라더스)
42,주출입구 접근로_경인빌딩(엉터리생고기),이용가능,경인빌딩(엉터리생고기)
43,장애인 전용 주차구역_경인빌딩(엉터리생고기),이용가능,경인빌딩(엉터리생고기)
44,주출입구 접근로_고기굼터,이용가능,고기굼터
45,주출입구 높이차이 제거_고기굼터,이용가능,고기굼터
46,주출입구 접근로_골방집,이용가능,골방집
47,장애인 전용 주차구역_골방집,이용가능,골방집
48,주출입구 접근로_공룡고기,이용가능,공룡고기
49,장애인 전용 주차구역_공룡고기,이용가능,공룡고기
50,주출입구 높이차이 제거_공룡고기,이용불편,공룡고기
51,주출입구 접근로_공룡고기,이용불편,공룡고기
52,장애인 전용 주차구역_공룡고기,이용가능,공룡고기
53,주출입구 접근로_광양림,이용불편,광양림
54,장애인 전용 주차구역_광양림,이용불편,광양림
55,주출입구 높이차이 제거_광양림,이용불편,광양림
56,주출입구 접근로_교촌1991,이용불편,교촌1991
57,장애인 전용 주차구역_교촌1991,이용가능,교촌1991
58,주출입구 접근로_궁안뜰,이용가능,궁안뜰
59,장애인 전용 주차구역_궁안뜰,이용가능,궁안뜰
60,주출입구 접근로_근린생활시설(고갯마루한정식),이용가능,근린생활시설(고갯마루한정식)
61,주출입구 높이차이 제거_근린생활시설(고갯마루한정식),이용가능,근린생활시설(고갯마루한정식)
62,주출입구 접근로_근린생활시설(대게나라),이용불편,근린생활시설(대게나라)
63,장애인 전용 주차구역_근린생활시설(대게나라),이용가능,근린생활시설(대게나라)
64,주출입구 높이차이 제거_근린생활시설(대게나라),이용가능,근린생활시설(대게나라)
65,주출입구 접근로_근린생활시설(못된송아지),이용가능,근린생활시설(못된송아지)
66,장애인 전용 주차구역_근린생활시설(못된송아지),이용가능,근린생활시설(못된송아지)
67,주출입구 접근로_근린생활시설(배밭고을),이용가능,근린생활시설(배밭고을)
68,장애인 전용 주차구역_근린생활시설(배밭고을),이용불편,근린생활시설(배밭고을)
69,주출입구 접근로_근린생활시설(벽창우생고기전문점),이용가능,근린생활시설(벽창우생고기전문점)
70,장애인 전용 주차구역_근린생활시설(벽창우생고기전문점),이용가능,근린생활시설(벽창우생고기전문점)
71,주출입구 높이차이 제거_근린생활시설(벽창우생고기전문점),이용가능,근린생활시설(벽창우생고기전문점)
72,주출입구 접근로_근린생활시설(봉평산골메밀촌),이용가능,근린생활시설(봉평산골메밀촌)
73,장애인 전용 주차구역_근린생활시설(봉평산골메밀촌),이용가능,근린생활시설(봉평산골메밀촌)
74,주출입구 높이차이 제거_근린생활시설(봉평산골메밀촌),이용불편,근린생활시설(봉평산골메밀촌)
75,주출입구 접근로_근린생활시설(생고기전문점취어당),이용불편,근린생활시설(생고기전문점취어당)
76,장애인 전용 주차구역_근린생활시설(생고기전문점취어당),이용가능,근린생활시설(생고기전문점취어당)
77,주출입구 높이차이 제거_근린생활시설(생고기전문점취어당),이용가능,근린생활시설(생고기전문점취어당)
78,주출입구 접근로_근린생활시설(엉터리생고기),이용가능,근린생활시설(엉터리생고기)
79,장애인 전용 주차구역_근린생활시설(엉터리생고기),이용가능,근린생활시설(엉터리생고기)
80,주출입구 접근로_근린생활시설(진할매칼국수보쌈),이용가능,근린생활시설(진할매칼국수보쌈)
81,장애인 전용 주차구역_근린생활시설(진할매칼국수보쌈),이용가능,근린생활시설(진할매칼국수보쌈)
82,주출입구 높이차이 제거_근린생활시설(진할매칼국수보쌈),이용가능,근린생활시설(진할매칼국수보쌈)
83,주출입구 접근로_근린생활시설(착한고기),이용불편,근린생활시설(착한고기)
84,주출입구 높이차이 제거_근린생활시설(착한고기),이용가능,근린생활시설(착한고기)
85,주출입구 접근로_근린생활시설(천하뼈다귀감자탕),이용불편,근린생활시설(천하뼈다귀감자탕)
86,주출입구 높이차이 제거_근린생활시설(천하뼈다귀감자탕),이용가능,근린생활시설(천하뼈다귀감자탕)
87,주출입구 접근로_근린생활시설(친구네숯불닭갈비),이용불편,근린생활시설(친구네숯불닭갈비)
88,주출입구 접근로_근린생활시설(풍천민물장어),이용불편,근린생활시설(풍천민물장어)
89,장애인 전용 주차구역_근린생활시설(풍천민물장어),이용가능,근린생활시설(풍천민물장어)
90,주출입구 높이차이 제거_근린생활시설(풍천민물장어),이용가능,근린생활시설(풍천민물장어)
91,주출입구 접근로_근린생활시설(화통구이),이용불편,근린생활시설(화통구이)
92,장애인 전용 주차구역_근린생활시설(화통구이),이용가능,근린생활시설(화통구이)
93,주출입구 접근로_근린생활시설(황금오리농원),이용불편,근린생활시설(황금오리농원)
94,주출입구 높이차이 제거_근린생활시설(황금오리농원),이용불편,근린생활시설(황금오리농원)
95,주출입구 접근로_금수복국,이용가능,금수복국
96,장애인 전용 주차구역_금수복국,이용가능,금수복국
97,주출입구 높이차이 제거_금수복국,이용가능,금수복국
98,주출입구 접근로_금수복국,이용가능,금수복국
99,장애인 전용 주차구역_금수복국,이용가능,금수복국
100,주출입구 높이차이 제거_금수복국,이용가능,금수복국
101,주출입구 접근로_나주곰탕,이용가능,나주곰탕
102,장애인 전용 주차구역_나주곰탕,이용가능,나주곰탕
103,주출입구 접근로_남원추어탕,이용가능,남원추어탕
104,장애인 전용 주차구역_남원추어탕,이용가능,남원추어탕
105,주출입구 접근로_논골집,이용가능,논골집
106,장애인 전용 주차구역_논골집,이용가능,논골집
107,주출입구 접근로_놀부 유황오리 진흙구이 청담점(청담솔 빌딩),이용가능,놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
108,장애인 전용 주차구역_놀부 유황오리 진흙구이 청담점(청담솔 빌딩),이용불편,놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
109,주출입구 높이차이 제거_놀부 유황오리 진흙구이 청담점(청담솔 빌딩),이용가능,놀부 유황오리 진흙구이 청담점(청담솔 빌딩)
110,주출입구 접근로_놀부부대찌게&철판구이,이용불편,놀부부대찌게&철판구이
111,장애인 전용 주차구역_놀부부대찌게&철판구이,이용가능,놀부부대찌게&철판구이
112,주출입구 높이차이 제거_놀부부대찌게&철판구이,이용가능,놀부부대찌게&철판구이
113,주출입구 접근로_달인갈매기(광명빌딩),이용가능,달인갈매기(광명빌딩)
114,장애인 전용 주차구역_달인갈매기(광명빌딩),이용가능,달인갈매기(광명빌딩)
115,주출입구 높이차이 제거_달인갈매기(광명빌딩),이용가능,달인갈매기(광명빌딩)
116,주출입구 접근로_대가순대국,이용가능,대가순대국
117,장애인 전용 주차구역_대가순대국,이용가능,대가순대국
118,주출입구 접근로_대문한정식,이용가능,대문한정식
119,장애인 전용 주차구역_대문한정식,이용가능,대문한정식
120,주출입구 높이차이 제거_대박고기집(등마루오리한마당),이용가능,대박고기집(등마루오리한마당)
121,주출입구 접근로_대원,이용가능,대원
122,주출입구 높이차이 제거_대원,이용가능,대원
123,주출입구 접근로_대원정,이용가능,대원정
124,장애인 전용 주차구역_대원정,이용가능,대원정
125,주출입구 접근로_대창타운빌,이용가능,대창타운빌
126,장애인 전용 주차구역_대창타운빌,이용불편,대창타운빌
127,주출입구 높이차이 제거_대창타운빌,이용가능,대창타운빌
128,주출입구 접근로_도봉산갈비,이용불편,도봉산갈비
129,장애인 전용 주차구역_도봉산갈비,이용가능,도봉산갈비
130,주출입구 높이차이 제거_도봉산갈비,이용가능,도봉산갈비
131,장애인 전용 주차구역_돈촌삼겹살,이용가능,돈촌삼겹살
132,주출입구 접근로_동구밖 장작구이(단군의땅),이용가능,동구밖 장작구이(단군의땅)
133,장애인 전용 주차구역_동구밖 장작구이(단군의땅),이용가능,동구밖 장작구이(단군의땅)
134,주출입구 접근로_동굴과 화로구이(뉴명성),이용불편,동굴과 화로구이(뉴명성)
135,장애인 전용 주차구역_동굴과 화로구이(뉴명성),이용가능,동굴과 화로구이(뉴명성)
136,주출입구 높이차이 제거_동굴과 화로구이(뉴명성),이용불편,동굴과 화로구이(뉴명성)
137,주출입구 접근로_둘레길주막미담,이용가능,둘레길주막미담
138,장애인 전용 주차구역_둘레길주막미담,이용가능,둘레길주막미담
139,주출입구 높이차이 제거_둘레길주막미담,이용가능,둘레길주막미담
140,주출입구 접근로_뚝심,이용가능,뚝심
141,장애인 전용 주차구역_뚝심,이용가능,뚝심
142,주출입구 높이차이 제거_뚝심,이용가능,뚝심
143,장애인 전용 주차구역_마루갈비,이용가능,마루갈비
144,주출입구 접근로_만가화로구이,이용불편,만가화로구이
145,장애인 전용 주차구역_만가화로구이,이용가능,만가화로구이
146,주출입구 높이차이 제거_만가화로구이,이용불편,만가화로구이
147,주출입구 접근로_만석장,이용불편,만석장
148,장애인 전용 주차구역_만석장,이용가능,만석장
149,주출입구 높이차이 제거_만석장,이용가능,만석장
150,주출입구 접근로_맛있는고기구워먹는곳,이용가능,맛있는고기구워먹는곳
151,장애인 전용 주차구역_맛있는고기구워먹는곳,이용가능,맛있는고기구워먹는곳
152,"주출입구 접근로_명가낙지마당(지하1,지상1층)",이용가능,"명가낙지마당(지하1,지상1층)"
153,"주출입구 높이차이 제거_명가낙지마당(지하1,지상1층)",이용가능,"명가낙지마당(지하1,지상1층)"
154,주출입구 접근로_명가설렁탕,이용불편,명가설렁탕
155,장애인 전용 주차구역_명가설렁탕,이용가능,명가설렁탕
156,주출입구 높이차이 제거_명가설렁탕,이용가능,명가설렁탕
157,장애인용 관람석_명가설렁탕,이용가능,명가설렁탕
158,주출입구 접근로_명문의집,이용불편,명문의집
159,장애인 전용 주차구역_명문의집,이용가능,명문의집
160,주출입구 높이차이 제거_명문의집,이용가능,명문의집
161,장애인용 관람석_명문의집,이용가능,명문의집
162,주출입구 접근로_몽골찬한우,이용불편,몽골찬한우
163,장애인 전용 주차구역_몽골찬한우,이용가능,몽골찬한우
164,주출입구 높이차이 제거_몽골찬한우,이용가능,몽골찬한우
165,주출입구 접근로_무봉리토종순대국,이용가능,무봉리토종순대국
166,주출입구 높이차이 제거_무봉리토종순대국,이용가능,무봉리토종순대국
167,주출입구 접근로_미가할매,이용가능,미가할매
168,주출입구 높이차이 제거_미가할매,이용가능,미가할매
169,장애인용 승강기_미가할매,이용가능,미가할매
170,주출입구 접근로_미담,이용가능,미담
171,주출입구 높이차이 제거_미담,이용가능,미담
172,장애인용 승강기_미담,이용가능,미담
173,장애인 전용 주차구역_미락(신성빌딩),이용가능,미락(신성빌딩)
174,주출입구 접근로_민속촌(용강빌딩),이용가능,민속촌(용강빌딩)
175,주출입구 높이차이 제거_민속촌(용강빌딩),이용불편,민속촌(용강빌딩)
176,주출입구 접근로_바달비,이용가능,바달비
177,주출입구 높이차이 제거_바달비,이용가능,바달비
178,주출입구 접근로_박미선 별난갈비,이용가능,박미선 별난갈비
179,장애인 전용 주차구역_박미선 별난갈비,이용불편,박미선 별난갈비
180,주출입구 높이차이 제거_박미선 별난갈비,이용불편,박미선 별난갈비
181,주출입구 접근로_벽제갈비,이용가능,벽제갈비
182,장애인 전용 주차구역_벽제갈비,이용가능,벽제갈비
183,주출입구 높이차이 제거_벽제갈비,이용가능,벽제갈비
184,주출입구 접근로_별당보리밥,이용가능,별당보리밥
185,장애인 전용 주차구역_별당보리밥,이용가능,별당보리밥
186,주출입구 접근로_보름달,이용가능,보름달
187,주출입구 높이차이 제거_보름달,이용가능,보름달
188,주출입구 접근로_보성식당,이용가능,보성식당
189,장애인 전용 주차구역_보성식당,이용가능,보성식당
190,주출입구 접근로_본가,이용불편,본가
191,장애인 전용 주차구역_본가,이용가능,본가
192,주출입구 높이차이 제거_본가,이용가능,본가
193,주출입구 접근로_본돈,이용가능,본돈
194,장애인 전용 주차구역_본돈,이용가능,본돈
195,주출입구 접근로_봉산집,이용가능,봉산집
196,장애인 전용 주차구역_봉산집,이용가능,봉산집
197,주출입구 높이차이 제거_봉산집,이용가능,봉산집
198,주출입구 접근로_봉우리,이용가능,봉우리
199,장애인 전용 주차구역_봉우리,이용가능,봉우리
200,주출입구 높이차이 제거_봉우리,이용가능,봉우리
201,주출입구 접근로_봉추찜닭(신사빌딩),이용가능,봉추찜닭(신사빌딩)
202,장애인 전용 주차구역_봉추찜닭(신사빌딩),이용가능,봉추찜닭(신사빌딩)
203,주출입구 높이차이 제거_봉추찜닭(신사빌딩),이용가능,봉추찜닭(신사빌딩)
204,주출입구 접근로_봉피양마포점(오늘도안동한우),이용불편,봉피양마포점(오늘도안동한우)
205,장애인 전용 주차구역_봉피양마포점(오늘도안동한우),이용가능,봉피양마포점(오늘도안동한우)
206,주출입구 높이차이 제거_봉피양마포점(오늘도안동한우),이용가능,봉피양마포점(오늘도안동한우)
207,장애인 전용 주차구역_불고기 브라더스 서교점,이용불편,불고기 브라더스 서교점
