,facility_detail_info,facility_available_name
0,총주차대수5,장애인 전용 주차구역_FR푸드시스템
1,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_FR푸드시스템
2,유효폭 1.2m 이상,주출입구 높이차이 제거_FR푸드시스템
3,손잡이 설치,주출입구 높이차이 제거_FR푸드시스템
4,평탄함,주출입구 접근로_OK목장
5,단차없음,주출입구 접근로_OK목장
6,유효폭 1.2m 이상,주출입구 접근로_OK목장
7,기울기 1/18이하,주출입구 접근로_OK목장
8,보/차도 구분,주출입구 접근로_OK목장
9,총주차대수30,장애인 전용 주차구역_OK목장
10,전용주차대수  3,장애인 전용 주차구역_OK목장
11,출입구와 가까운 곳에 설치,장애인 전용 주차구역_OK목장
12,크기 확보(3.3*5m),장애인 전용 주차구역_OK목장
13,안내표지판 설치,장애인 전용 주차구역_OK목장
14,평탄함,주출입구 접근로_The만나
15,단차없음,주출입구 접근로_The만나
16,유효폭 1.2m 이상,주출입구 접근로_The만나
17,기울기 1/18이하,주출입구 접근로_The만나
18,보/차도 구분없음,주출입구 접근로_The만나
19,상세정보 없음,장애인 전용 주차구역_The만나
20,경사로 1/12초과 설치,주출입구 높이차이 제거_The만나
21,유효폭 1.2m 미만,주출입구 높이차이 제거_The만나
22,손잡이 설치,주출입구 높이차이 제거_The만나
23,상세정보 없음,주출입구 접근로_㈜이리오어라(한정식)
24,총주차대수31,장애인 전용 주차구역_㈜이리오어라(한정식)
25,전용주차대수  1,장애인 전용 주차구역_㈜이리오어라(한정식)
26,출입구와 가까운 곳에 설치,장애인 전용 주차구역_㈜이리오어라(한정식)
27,크기 확보(3.3*5m),장애인 전용 주차구역_㈜이리오어라(한정식)
28,안내표지판 설치,장애인 전용 주차구역_㈜이리오어라(한정식)
29,평탄하지 않음,주출입구 접근로_가야옥
30,단차없음,주출입구 접근로_가야옥
31,유효폭 1.2m 이상,주출입구 접근로_가야옥
32,기울기 1/18이하,주출입구 접근로_가야옥
33,보/차도 구분,주출입구 접근로_가야옥
34,총주차대수7,장애인 전용 주차구역_가야옥
35,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_가야옥
36,유효폭 1.2m 이상,주출입구 높이차이 제거_가야옥
37,손잡이 설치,주출입구 높이차이 제거_가야옥
38,평탄함,주출입구 접근로_가족천하
39,단차없음,주출입구 접근로_가족천하
40,유효폭 1.2m 이상,주출입구 접근로_가족천하
41,기울기 1/18이하,주출입구 접근로_가족천하
42,보/차도 구분,주출입구 접근로_가족천하
43,평탄함,주출입구 접근로_갈비둥지
44,단차없음,주출입구 접근로_갈비둥지
45,유효폭 1.2m 이상,주출입구 접근로_갈비둥지
46,기울기 1/18이하,주출입구 접근로_갈비둥지
47,보/차도 구분없음,주출입구 접근로_갈비둥지
48,총주차대수80,장애인 전용 주차구역_갈비둥지
49,전용주차대수  1,장애인 전용 주차구역_갈비둥지
50,출입구와 가까운 곳에 설치,장애인 전용 주차구역_갈비둥지
51,크기 확보(3.3*5m),장애인 전용 주차구역_갈비둥지
52,안내표지판 설치,장애인 전용 주차구역_갈비둥지
53,경사로 1/12초과 설치,주출입구 높이차이 제거_갈비둥지
54,유효폭 1.2m 이상,주출입구 높이차이 제거_갈비둥지
55,손잡이 설치,주출입구 높이차이 제거_갈비둥지
56,평탄함,주출입구 접근로_갈비사랑
57,단차없음,주출입구 접근로_갈비사랑
58,유효폭 1.2m 이상,주출입구 접근로_갈비사랑
59,기울기 1/18이하,주출입구 접근로_갈비사랑
60,보/차도 구분,주출입구 접근로_갈비사랑
61,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_갈비사랑
62,유효폭 1.2m 이상,주출입구 높이차이 제거_갈비사랑
63,평탄함,주출입구 접근로_갈비세상
64,단차없음,주출입구 접근로_갈비세상
