,facility_available_name,facility_is_available,place_name,place_id,facility_id
0,주출입구 접근로_A아트홀(구.신연아트홀),이용불편,A아트홀(구.신연아트홀),0,0-0
1,주출입구 높이차이 제거_A아트홀(구.신연아트홀),이용가능,A아트홀(구.신연아트홀),0,0-1
2,주출입구 접근로_BBC씨어터,이용가능,BBC씨어터,1,1-0
3,장애인 전용 주차구역_BBC씨어터,이용가능,BBC씨어터,1,1-1
4,주출입구 높이차이 제거_BBC씨어터,이용가능,BBC씨어터,1,1-2
5,장애인용 승강기_BBC씨어터,이용가능,BBC씨어터,1,1-3
6,장애인용 관람석_BBC씨어터,이용가능,BBC씨어터,1,1-4
7,주출입구 접근로_BREAK OUT 전용극장,이용가능,BREAK OUT 전용극장,2,2-0
8,장애인 전용 주차구역_BREAK OUT 전용극장,이용불편,BREAK OUT 전용극장,2,2-1
9,장애인용 승강기_BREAK OUT 전용극장,이용가능,BREAK OUT 전용극장,2,2-2
10,장애인용 화장실_BREAK OUT 전용극장,이용불편,BREAK OUT 전용극장,2,2-3
11,장애인용 관람석_BREAK OUT 전용극장,이용가능,BREAK OUT 전용극장,2,2-4
12,주출입구 접근로_CGV 강남,이용가능,CGV 강남,5,5-0
13,장애인 전용 주차구역_CGV 강남,이용가능,CGV 강남,5,5-1
14,주출입구 높이차이 제거_CGV 강남,이용가능,CGV 강남,5,5-2
15,장애인용 승강기_CGV 강남,이용불편,CGV 강남,5,5-3
16,장애인용 관람석_CGV 강남,이용가능,CGV 강남,5,5-4
17,장애인용 승강기_CGV 명동,이용가능,CGV 명동,6,6-0
18,장애인용 관람석_CGV 명동,이용가능,CGV 명동,6,6-1
19,주출입구 접근로_CGV 상암,이용가능,CGV 상암,7,7-0
20,주출입구 높이차이 제거_CGV 상암,이용가능,CGV 상암,7,7-1
21,주출입구 접근로_CGV 송파,이용가능,CGV 송파,8,8-0
22,장애인 전용 주차구역_CGV 송파,이용가능,CGV 송파,8,8-1
23,주출입구 높이차이 제거_CGV 송파,이용가능,CGV 송파,8,8-2
24,장애인용 승강기_CGV 송파,이용가능,CGV 송파,8,8-3
25,장애인용 화장실_CGV 송파,이용가능,CGV 송파,8,8-4
26,장애인용 관람석_CGV 송파,이용가능,CGV 송파,8,8-5
27,주출입구 접근로_CGV강변,이용불편,CGV강변,9,9-0
28,장애인 전용 주차구역_CGV강변,이용가능,CGV강변,9,9-1
