,지역,시설구분,기관명,소재지,연락처,홈페이지,위도,경도
0,양천구,공동생활가정,드림하우스공동생활가정,양천구 곰달래로10길 19-1 301호 드림하우스공동생활가정,070-4804-6043,,37.5284684,126.8373535
1,도봉구,공동생활가정,디딤돌공동생활가정,도봉구 우이천로 446-11 해밀하우스1 501호 디딤돌공동생활가정,070-8281-8879,,37.6534464,127.0172204
2,마포구,공동생활가정,라온홈,마포구 잔다리로9길 21 우담빌라 105동 501호 라온홈,02-325-6676,,37.5570653,126.9135996
3,강서구,공동생활가정,로사리아공동생활가정,"강서구 까치산로24길 15-11 2층 201,202 로사리아공동생활가정",02-2696-6521,,37.549574,126.8523014
4,마포구,공동생활가정,루치아공동생활가정,마포구 마포대로4라길 41 201호 루치아공동생활가정,070-8625-3788,,37.5366247,126.9460609
5,송파구,공동생활가정,마라제1공동생활가정,송파구 송이로34길 43-1 4층 마라제1공동생활가정,02-408-7494,,37.4845267,127.1288722
6,송파구,공동생활가정,마라제2공동생활가정,송파구 송이로34길 43-1 5층 마라제2공동생활가정,02-408-7533,,37.4845267,127.1288722
7,중구,주간보호시설,영락,중구 수표로 33 (저동2가 69),02-2280-0278,http://www.yndcc.net,37.5632016,126.989182
8,강남구,주간보호시설,역삼주간보호센터,강남구 테헤란로8길 36 (역삼동 827-61) 강남문화원 2층,02-518-2270,http://hnwelfare.or.kr/main/sub04_03.html,37.4965073,127.0320483
9,송파구,공동생활가정,마라제3공동생활가정,송파구 가락로5길 7-11 301호 마라제3공동생활가정,02-3431-7493,,37.4999779,127.1014508
10,송파구,공동생활가정,마라제4공동생활가정,송파구 마천로39길 35 401호 마라제4공동생활가정,02-406-7493,,37.5004222,127.1493011
11,관악구,공동생활가정,두레네공동생활가정,관악구 법원단지길 97-3 101호 두레네공동생활가정,02-866-6155,,37.4748224,126.9222335
12,종로구,공동생활가정,마로니에공동생활가정,종로구 혜화로12길 20-10 1층 101호 마로니에공동생활가정,02-744-9026,,37.5896733,127.0004567
13,송파구,공동생활가정,미술작은예수의집,송파구 가락로11길 12-6 화이트빌 101호 미술작은예수의집,02-415-0546,,37.5014697,127.1048604
14,영등포구,공동생활가정,민들레의 집1호,영등포구 도신로 146-3 101호(신길동) 민들레의 집1호,02-846-6505,,37.5092008,126.9079232
15,영등포구,공동생활가정,민들레의집2호,영등포구 도신로 146-3 101호(신길동) 민들레의집2호,02-846-6505,,37.5092008,126.9079232
16,성동구,공동생활가정,믿음의집,성동구 금호9가길 57-10 2층 믿음의집,02-2232-5965,,NaN,NaN
17,은평구,공동생활가정,바르티매오,"은평구 불광로9가길 4, 302호 바르티매오",02-722-0988,,37.6165695,126.9314846
18,노원구,공동생활가정,배움터2호,노원구 한글비석로24바길 98 지성리치빌 201호 배움터2호,02-933-7405,,37.6667313,127.0699335
19,도봉구,공동생활가정,동천하우스3,도봉구 시루봉로23길 64 301호 배움터3호,070-8840-8232,,37.6732761,127.0414398
20,중랑구,공동생활가정,배움터4호,중랑구 동일로104길 3-3 301호(면목동) 배움터4호,02-6084-5582,,37.5901799,127.080459
21,노원구,공동생활가정,베데스다의집,노원구 중계로8길 39 현대5차 211동 110호 베데스다의집,02-3392-0265,,37.6471623,127.0844122
22,노원구,복지관,성민장애인복지관,노원구 노원로32길 30-3 (상계동 321-9),02-931-7970~2,www.sungminwelfare.or.kr,37.6556243,127.0693404
23,강서구,복지관,강서뇌성마비복지관,강서구 방화대로45길 69 (방화동 452-5),02-2662-3491,www.kscp.net,37.574198,126.8125849
24,도봉구,공동생활가정,베데스다의집아미네,도봉구 시루봉로13가길 30 201호 베데스다의집아미네,02-3494-2123,,37.667684,127.0305686
25,구로구,공동생활가정,버들그룹홈,구로구 부일로 871-16 디아이빌2차 101동 601호 버들그룹홈,02-2694-6334,,37.4932322,126.8234643
26,도봉구,공동생활가정,베데스다의집함께하네,도봉구 도봉로147길 51 301호 베데스다의집함께하네,070-4065-2123,,37.6649478,127.0397375
27,은평구,공동생활가정,벧엘공동생활가정,"은평구 가좌로 312-11,201호 벧엘공동생활가정",070-8276-3740,,37.5959892,126.9108172
28,강동구,공동생활가정,보금자리공동생활가정,강동구 동남로 85길 15 4층 보금자리공동생활가정,02-428-8665,,37.5612461,127.1558947
29,동작구,공동생활가정,보라매그룹홈,동작구 보라매로13길 21 301호 보라매그룹홈,02-826-2396,,37.4962048,126.926543
30,은평구,공동생활가정,브니엘공동생활가정,은평구 증산로19길 28-10 301호 브니엘공동생활가정,070-8273-3740,,37.5957696,126.9118772
31,강동구,공동생활가정,사랑나눔강동공동생활가정,"강동구 양재대로112길 86, 401호 사랑나눔강동공동생활가정",070-4078-8460,,37.5357197,127.1444448
32,송파구,공동생활가정,사랑나눔송파,송파구 성내천로42길 11 301호 사랑나눔송파,070-8292-8460,,37.4960364,127.1531016
33,서초구,공동생활가정,사랑의가족,서초구 사임당로20길 16 201호 사랑의가족,02-3482-7726,,37.4892662,127.0210898
34,영등포구,주간보호시설,모랫말꿈터,영등포구 도영로 37 (도림2동 205-24),02-846-5560,http://happylog.naver.com/dorimdaycare.do,37.510186,126.8974881
35,동작구,주간보호시설,서울남부주간보호센터,동작구 여의대방로 20길 33 (신대방2동 395번지),02-829-7154,http://ilovenambu.or.kr,37.4948959,126.9194519
36,동작구,주간보호시설,사랑손주간보호,동작구 사당로2길 32 (사당5동 181-360),02-525-9010,,37.4926044,126.9626064
37,서초구,주간보호시설,까리따스장애인주간보호,서초구 남부순환로 2124 (방배2동 3274),02-522-6004,http://www.cbwc.or.kr,37.4750144,126.9843984
38,강남구,주간보호시설,하상,강남구 개포로 613 (개포동 12-5),02-451-6000,http://www.hasang.org,37.4925325,127.0751283
39,강남구,주간보호시설,성모자애제1주간보호,강남구 헌릉로757길 35 (율현동 110번지),02-3411-9581,http://www.smwelfare.or.kr,37.4705425,127.1194354
40,송파구,주간보호시설,무지개주간보호,송파구 거마로10길 13 (거여2동 187-9),02-448-6620,http://rainbowhill.org,37.4949164,127.1468786
41,서초구,공동생활가정,사랑의그룹홈,서초구 효령로 23길 61 501호 사랑의그룹홈,02-523-7726,,37.4829926,126.992535
42,은평구,공동생활가정,보라향그룹홈,은평구 서오릉로20길 12 뉴아름빌201호~ 202호 보라향그룹홈,02-385-5841,,37.6164659,126.9094489
43,송파구,공동생활가정,사랑의집,송파구 오금로64나길 11-1 301호 사랑의집,02-408-7406,,37.4917476,127.1486868
44,성동구,공동생활가정,사랑의집,성동구 금호산9가길 57-10 사랑의집,02-2231-0412,,37.5529775,127.0185627
45,노원구,공동생활가정,사랑의집공동생활가정,노원구 동일로193길 8(신대림아파트) 701호 사랑의집공동생활가정,02-973-1484,,37.6262949,127.0720734
46,동작구,공동생활가정,삼성그룹홈1호,동작구 양녕로22마길 90 301호 삼성그룹홈1호,02-3280-0278,,37.4990464,126.9468133
47,관악구,공동생활가정,서로함께_신사,"관악구 남부순환로155길 26-4, 401호 서로함께_신사",02-852-0400,,37.4841178,126.9179063
48,강남구,공동생활가정,서로함께_청담,강남구 선릉로146길 27-4 204호 서로함께_청담,02-852-0400,,37.5220489,127.042467
49,송파구,공동생활가정,섬김의집,"송파구 송이로31길 56 9동 106호(문정동, 문정시영아파트) 섬김의집",02-449-3478,,37.4916693,127.1364537
50,강남구,공동생활가정,성모자애공동생활가정,강남구 헌릉로757길 35 성모자애공동생활가정,02-3410-8822,,37.4705425,127.1194354
