,Gu,place_count,population_count,ratio
0,강남구,631,15617,0.04040468719984632
1,강동구,461,17413,0.02647447309481422
2,강북구,213,17377,0.01225758186108074
3,강서구,582,28717,0.020266740954835116
4,관악구,368,20103,0.018305725513604935
5,광진구,209,12514,0.016701294550103885
6,구로구,238,17289,0.01376597836774828
7,금천구,309,11059,0.027941043493986798
8,노원구,399,27436,0.014542936288088643
9,도봉구,309,15196,0.02033429849960516
10,동대문구,183,15893,0.011514503240420311
11,동작구,247,14590,0.01692940370116518
12,마포구,237,13250,0.01788679245283019
13,서대문구,244,12644,0.019297690604239165
14,서초구,414,10774,0.03842583998514943
15,성동구,222,11770,0.018861512319456243
16,성북구,396,17529,0.02259113469108335
17,송파구,624,19790,0.031531076301162204
18,양천구,239,17232,0.013869545032497679
19,영등포구,323,14351,0.022507142359417462
20,용산구,208,8116,0.025628388368654508
21,은평구,476,21301,0.0223463687150838
22,종로구,286,6064,0.04716358839050132
23,중구,235,5694,0.0412715138742536
24,중랑구,271,20034,0.013527004093041828
