,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
1,공중화장실,남대문시장,서울특별시 중구 소월로 3,서울특별시 중구 남창동 51-2,N,0,2,1,0,0,0,1,1,0,서울특별시 중구청,02-3396-5472,연중무휴,Jul.17,37.559433,126.976225,2018.2.26
2,공중화장실,광희동,서울특별시 중구 마른내로 166,서울특별시 중구 광희동1가 202-1,N,2,4,1,0,0,0,4,1,0,서울특별시 중구청,02-3396-5472,연중무휴,Nov.00,37.564371,127.006306,2018.2.26
3,공중화장실,신당 1호,서울특별시 중구 다산로 33다길 25,서울특별시 중구 신당동 236-542,Y,1,1,0,0,0,0,2,0,0,서울특별시 중구청,02-3396-5472,연중무휴,Sep.82,37.563819,127.013347,2018.2.26
4,공중화장실,신당 2호,서울특별시 중구 다산로 31길 7-5,서울특별시 중구 신당동 298-74,N,2,1,0,0,0,0,2,0,0,서울특별시 중구청,02-3396-5472,연중무휴,Jun.81,37.561325,127.013778,2018.2.26
5,공중화장실,청구역,서울특별시 중구 장충단로 228-15,서울특별시 중구 신당동 297-17,N,1,3,1,0,0,0,2,0,0,서울특별시 중구청,02-3396-5472,연중무휴,Sep.84,37.561317,127.013783,2018.2.26
6,공중화장실,황학동,서울특별시 중구 다산로48길 33,서울특별시 중구 황학동 755,N,1,2,1,1,1,0,3,1,1,서울특별시 중구청,02-3396-5472,연중무휴,Jul.17,37.56754,127.018139,2018.2.26
7,공중화장실,구로4동 경로당,서울특별시 구로구 구로동로8길 27,서울특별시 구로구 구로동 745-74,N,2,2,0,0,0,0,1,0,3,서울특별시 구로구시설관리공단,02-850-0946,연중무휴,Jul.81,37.487057,126.886241,2018.2.19
8,공중화장실,거리공원 등기소앞,서울특별시 구로구 구로동 50,서울특별시 구로구 구로동 50,N,2,6,0,0,0,0,5,0,0,서울특별시 구로구시설관리공단,02-850-0946,연중무휴,Feb.86,37.501131,126.890341,2018.2.19
9,공중화장실,삭새어린이공원,서울특별시 구로구 부일로9길 90-2,서울특별시 구로구 궁동 238-3,N,2,2,0,0,0,0,3,0,0,서울특별시 구로구시설관리공단,02-850-0946,연중무휴,Dec.86,37.496343,126.824444,2018.2.19
10,공중화장실,거리공원 해병대앞,서울특별시 구로구 구로동 50,서울특별시 구로구 구로동 50,N,3,2,0,0,0,0,3,0,0,서울특별시 구로구시설관리공단,02-850-0946,연중무휴,Sep.86,37.501131,126.890341,2018.2.19
11,공중화장실,개웅어린이공원,서울특별시 구로구 개봉로15길 58-2,서울특별시 구로구 개봉동 340-8,N,2,1,0,0,0,0,2,0,0,서울특별시 구로구시설관리공단,02-850-0946,연중무휴,Oct.86,37.490107,126.853004,2018.2.19
12,공중화장실,고척근린공원,서울특별시 구로구 고척로45길 31,서울특별시 구로구 고척동 산9-14,N,5,1,1,0,0,0,12,0,0,서울특별시 구로구시설관리공단,02-850-0946,연중무휴,May.02,37.505376,126.853067,2018.2.19
13,공중화장실,궁동생태공원,서울특별시 구로구 궁동 42-2,서울특별시 구로구 궁동 42-2,N,1,1,0,0,1,0,2,0,0,서울특별시 구로구시설관리공단,02-850-0946,연중무휴,Apr.14,37.501289,126.829383,2018.2.19
14,공중화장실,구로리어린이공원,서울특별시 구로구 구로중앙로 13,서울특별시 구로구 구로동 139-82,N,3,4,1,0,0,0,6,0,0,서울특별시 구로구시설관리공단,02-850-0946,연중무휴,Nov.03,37.490433,126.891616,2018.2.19
15,공중화장실,화원어린이공원,서울특별시 구로구 벚꽃로 490,서울특별시 구로구 구로동 478-1,N,1,3,0,0,0,0,1,0,0,서울특별시 구로구시설관리공단,02-850-0946,연중무휴,Nov.03,37.497937,126.880489,2018.2.19
