,facility_available_name,facility_is_available,place_name,place_id,facility_id
0,장애인 전용 주차구역_FR푸드시스템,이용가능,FR푸드시스템,4856,4856-0
1,주출입구 높이차이 제거_FR푸드시스템,이용가능,FR푸드시스템,4856,4856-1
2,주출입구 접근로_OK목장,이용가능,OK목장,4857,4857-0
3,장애인 전용 주차구역_OK목장,이용가능,OK목장,4857,4857-1
4,주출입구 접근로_The만나,이용불편,The만나,4858,4858-0
5,장애인 전용 주차구역_The만나,이용가능,The만나,4858,4858-1
6,주출입구 높이차이 제거_The만나,이용불편,The만나,4858,4858-2
7,주출입구 접근로_㈜이리오어라(한정식),이용가능,㈜이리오어라(한정식),4859,4859-0
8,장애인 전용 주차구역_㈜이리오어라(한정식),이용가능,㈜이리오어라(한정식),4859,4859-1
9,주출입구 접근로_가야옥,이용불편,가야옥,4860,4860-0
10,장애인 전용 주차구역_가야옥,이용가능,가야옥,4860,4860-1
11,주출입구 높이차이 제거_가야옥,이용가능,가야옥,4860,4860-2
12,주출입구 접근로_가족천하,이용가능,가족천하,4861,4861-0
13,주출입구 접근로_갈비둥지,이용불편,갈비둥지,4862,4862-0
14,장애인 전용 주차구역_갈비둥지,이용불편,갈비둥지,4862,4862-1
15,주출입구 높이차이 제거_갈비둥지,이용불편,갈비둥지,4862,4862-2
16,주출입구 접근로_갈비사랑,이용불편,갈비사랑,4863,4863-0
17,주출입구 높이차이 제거_갈비사랑,이용가능,갈비사랑,4863,4863-1
18,주출입구 접근로_갈비세상,이용가능,갈비세상,4864,4864-0
19,주출입구 높이차이 제거_갈비세상,이용가능,갈비세상,4864,4864-1
20,주출입구 접근로_갈비예찬,이용불편,갈비예찬,4865,4865-0
21,주출입구 높이차이 제거_갈비예찬,이용불편,갈비예찬,4865,4865-1
22,주출입구 접근로_감자바우,이용가능,감자바우,4866,4866-0
23,주출입구 높이차이 제거_감자바우,이용가능,감자바우,4866,4866-1
24,주출입구 접근로_강강술래,이용불편,강강술래,4867,4867-0
25,장애인 전용 주차구역_강강술래,이용불편,강강술래,4867,4867-1
26,주출입구 높이차이 제거_강강술래,이용가능,강강술래,4867,4867-2
27,주출입구 접근로_강강술래,이용가능,강강술래,4868,4868-0
28,장애인용 관람석_강강술래,이용가능,강강술래,4868,4868-1
29,주출입구 접근로_개성면옥,이용가능,개성면옥,4869,4869-0
30,장애인 전용 주차구역_개성면옥,이용가능,개성면옥,4869,4869-1
31,주출입구 접근로_개성면옥(함흥냉면),이용불편,개성면옥(함흥냉면),4870,4870-0
32,장애인 전용 주차구역_개성면옥(함흥냉면),이용불편,개성면옥(함흥냉면),4870,4870-1
33,주출입구 접근로_거북이집,이용가능,거북이집,4871,4871-0
34,장애인 전용 주차구역_거북이집,이용가능,거북이집,4871,4871-1
35,주출입구 높이차이 제거_거북이집,이용가능,거북이집,4871,4871-2
36,주출입구 접근로_경복궁,이용가능,경복궁,4872,4872-0
37,장애인 전용 주차구역_경복궁,이용가능,경복궁,4872,4872-1
38,주출입구 높이차이 제거_경복궁,이용가능,경복궁,4872,4872-2
39,주출입구 접근로_경복궁(불고기브라더스),이용불편,경복궁(불고기브라더스),4873,4873-0
40,장애인 전용 주차구역_경복궁(불고기브라더스),이용불편,경복궁(불고기브라더스),4873,4873-1
41,주출입구 높이차이 제거_경복궁(불고기브라더스),이용가능,경복궁(불고기브라더스),4873,4873-2
42,주출입구 접근로_경인빌딩(엉터리생고기),이용가능,경인빌딩(엉터리생고기),4874,4874-0
43,장애인 전용 주차구역_경인빌딩(엉터리생고기),이용가능,경인빌딩(엉터리생고기),4874,4874-1
