,place_name,place_address,lat,lon,category,place_id
0,A아트홀(구.신연아트홀),서울특별시 종로구 동숭동 1-37,37.583268700000005,127.002443,movie/concerthall,10000
1,BBC씨어터,서울특별시 강남구 신사동  568-2,37.5239298,127.0251432,movie/concerthall,10001
2,BREAK OUT 전용극장,서울특별시 종로구 관철동 33-1,37.5688354,126.988123,movie/concerthall,10002
3,BYRDS(버즈),서울특별시 마포구 와우산로 51,37.54910039999999,126.92286010000001,movie/concerthall,10003
4,Between the Bars,서울특별시 마포구 어울마당로 114,37.554833200000004,126.9232125,movie/concerthall,10004
5,CGV 강남,서울특별시 강남구 역삼동 814-6 스타플렉스 4-11층,37.501621,127.0263906,movie/concerthall,10005
6,CGV 명동,서울특별시 중구 명동2가 83-5 눈스퀘어 8층,37.5634244,126.9829197,movie/concerthall,10006
7,CGV 상암,서울특별시 마포구 월드컵로 240,37.569950899999995,126.899029,movie/concerthall,10007
8,CGV 송파,서울특별시 송파구 문정동 294 가든파이브 라이프 YOUNG관 10층,37.4787378,127.1211166,movie/concerthall,10008
9,CGV강변,서울특별시 강동구 성내로 48,37.528451700000005,127.1253784,movie/concerthall,10009
10,CGV구로,서울특별시 구로구 구로중앙로 152,37.5011769,126.8828472,movie/concerthall,10010
11,CGV군자,서울특별시 광진구 능동로  289,37.5558098,127.0783645,movie/concerthall,10011
12,CGV대학로,서울특별시 종로구 새문안로 75,37.570650799999996,126.9729916,movie/concerthall,10012
13,CGV목동,서울특별시 양천구 목동동로 257,37.5265922,126.8744517,movie/concerthall,10013
14,CGV불광,서울특별시 은평구 불광로  20,37.60974,126.92896809999999,movie/concerthall,10014
15,CGV신촌아트레온,서울특별시 서대문구 신촌로  129,37.556540399999996,126.9402938,movie/concerthall,10015
16,CGV신한카드아트홀(구 CGV팝아트홀),서울특별시 영등포구 영등포동 4가 442번지 타임스퀘어내 CGV팝아트홀 7층,37.5170517,126.90333319999999,movie/concerthall,10016
17,CGV압구정,서울특별시 강남구 압구정로30길  45,37.5243665,127.0294163,movie/concerthall,10017
18,CGV영등포,서울특별시 영등포구 여의공원로 101,37.529261299999995,126.9249062,movie/concerthall,10018
