,facility_available_name,facility_is_available,place_name,place_id,facility_id
0,주출입구 접근로,이용불편,A아트홀(구.신연아트홀),10000,100000
1,주출입구 높이차이 제거,이용가능,A아트홀(구.신연아트홀),10000,100001
2,주출입구 접근로,이용가능,BBC씨어터,10001,100002
3,장애인 전용 주차구역,이용가능,BBC씨어터,10001,100003
4,주출입구 높이차이 제거,이용가능,BBC씨어터,10001,100004
5,장애인용 승강기,이용가능,BBC씨어터,10001,100005
6,장애인용 관람석,이용가능,BBC씨어터,10001,100006
7,주출입구 접근로,이용가능,BREAK OUT 전용극장,10002,100007
8,장애인 전용 주차구역,이용불편,BREAK OUT 전용극장,10002,100008
9,장애인용 승강기,이용가능,BREAK OUT 전용극장,10002,100009
10,장애인용 화장실,이용불편,BREAK OUT 전용극장,10002,100010
11,장애인용 관람석,이용가능,BREAK OUT 전용극장,10002,100011
12,주출입구 접근로,이용가능,CGV 강남,10005,100012
13,장애인 전용 주차구역,이용가능,CGV 강남,10005,100013
14,주출입구 높이차이 제거,이용가능,CGV 강남,10005,100014
15,장애인용 승강기,이용불편,CGV 강남,10005,100015
16,장애인용 관람석,이용가능,CGV 강남,10005,100016
17,장애인용 승강기,이용가능,CGV 명동,10006,100017
18,장애인용 관람석,이용가능,CGV 명동,10006,100018
19,주출입구 접근로,이용가능,CGV 상암,10007,100019
20,주출입구 높이차이 제거,이용가능,CGV 상암,10007,100020
21,주출입구 접근로,이용가능,CGV 송파,10008,100021
22,장애인 전용 주차구역,이용가능,CGV 송파,10008,100022
23,주출입구 높이차이 제거,이용가능,CGV 송파,10008,100023
24,장애인용 승강기,이용가능,CGV 송파,10008,100024
25,장애인용 화장실,이용가능,CGV 송파,10008,100025
26,장애인용 관람석,이용가능,CGV 송파,10008,100026
27,주출입구 접근로,이용불편,CGV강변,10009,100027
28,장애인 전용 주차구역,이용가능,CGV강변,10009,100028
29,주출입구 높이차이 제거,이용가능,CGV강변,10009,100029
30,장애인용 승강기,이용가능,CGV강변,10009,100030
31,장애인용 화장실,이용불편,CGV강변,10009,100031
32,주출입구 접근로,이용가능,CGV구로,10010,100032
33,장애인 전용 주차구역,이용불편,CGV구로,10010,100033
34,주출입구 높이차이 제거,이용가능,CGV구로,10010,100034
35,장애인용 승강기,이용가능,CGV구로,10010,100035
36,장애인용 화장실,이용불편,CGV구로,10010,100036
