,facility_id,place_id,facility_available_name,place_name,facility_is_available
0,900000,0,장애인용 화장실,가락시장,이용가능
1,900001,0,장애인용 승강기,가락시장,이용가능
3,900003,1,장애인용 승강기,가산디지털단지,이용가능
4,900004,1,장애인용 화장실,가산디지털단지,이용가능
7,900007,3,장애인용 화장실,강남,이용가능
8,900008,3,장애인용 승강기,강남,이용가능
10,900017,5,장애인용 승강기,강동,이용가능
12,900014,5,장애인용 화장실,강동,이용가능
14,900021,7,장애인용 화장실,강변,이용가능
15,900022,7,장애인용 승강기,강변,이용가능
17,900024,8,장애인용 화장실,개농,이용가능
18,900025,8,장애인용 승강기,개농,이용가능
19,900026,10,장애인용 화장실,개화산,이용가능
20,900027,10,장애인용 승강기,개화산,이용가능
21,900031,11,장애인용 승강기,거여,이용가능
22,900028,11,장애인용 화장실,거여,이용가능
25,900034,12,장애인용 승강기,건대입구,이용가능
27,900032,12,장애인용 화장실,건대입구,이용가능
29,900038,15,장애인용 화장실,고덕,이용가능
30,900039,15,장애인용 승강기,고덕,이용가능
32,900041,16,장애인용 화장실,고려대,이용가능
33,900042,16,장애인용 승강기,고려대,이용가능
35,900044,17,장애인용 화장실,고속터미널,이용가능
36,900045,17,장애인용 승강기,고속터미널,이용가능
37,900047,20,장애인용 승강기,공덕,이용가능
38,900048,20,장애인용 화장실,공덕,이용가능
40,900049,21,장애인용 승강기,공릉,이용가능
42,900051,21,장애인용 화장실,공릉,이용가능
43,900054,24,장애인용 승강기,광나루,이용가능
44,900052,24,장애인용 화장실,광나루,이용가능
46,900055,25,장애인용 화장실,광명사거리,이용가능
47,900056,25,장애인용 승강기,광명사거리,이용가능
49,900060,26,장애인용 화장실,광화문,이용가능
50,900061,26,장애인용 승강기,광화문,이용가능
53,900064,27,장애인용 승강기,광흥창,이용가능
54,900062,27,장애인용 화장실,광흥창,이용가능
56,900065,28,장애인용 화장실,교대,이용가능
57,900066,28,장애인용 승강기,교대,이용가능
59,900068,30,장애인용 화장실,구로디지털단지,이용가능
60,900069,30,장애인용 승강기,구로디지털단지,이용가능
61,900070,31,장애인용 화장실,구산,이용가능
62,900071,31,장애인용 승강기,구산,이용가능
65,900075,32,장애인용 승강기,구의,이용가능
67,900074,32,장애인용 화장실,구의,이용가능
